date,product_id,store_id,units_sold,revenue
2026-08-25,P001,S001,12,9588
2026-08-25,P002,S001,8,11992
2026-08-25,P003,S001,15,5985
2026-08-25,P004,S001,6,5994
2026-08-25,P005,S001,4,9996
2026-08-25,P006,S001,7,13293
2026-08-25,P007,S001,2,12998
2026-08-25,P008,S001,9,8091
2026-08-25,P009,S001,25,2475
2026-08-25,P010,S001,10,12990
2026-08-26,P001,S001,14,11186
2026-08-26,P002,S001,9,13491
2026-08-26,P003,S001,18,7182
2026-08-26,P004,S001,7,6993
2026-08-26,P005,S001,5,12495
2026-08-26,P006,S001,8,15192
2026-08-26,P007,S001,1,6499
2026-08-26,P008,S001,11,9889
2026-08-26,P009,S001,30,2970
2026-08-26,P010,S001,12,15588
2026-08-27,P001,S001,16,12784
2026-08-27,P002,S001,11,16489
2026-08-27,P003,S001,20,7980
2026-08-27,P004,S001,8,7992
2026-08-27,P005,S001,7,17493
2026-08-27,P006,S001,10,18990
2026-08-27,P007,S001,3,19497
2026-08-27,P008,S001,13,11687
2026-08-27,P009,S001,28,2772
2026-08-27,P010,S001,14,18186
2026-08-28,P001,S001,18,14382
2026-08-28,P002,S001,13,19487
2026-08-28,P003,S001,22,8778
2026-08-28,P004,S001,9,8991
2026-08-28,P005,S001,8,19992
2026-08-28,P006,S001,12,22788
2026-08-28,P007,S001,2,12998
2026-08-28,P008,S001,15,13485
2026-08-28,P009,S001,35,3465
2026-08-28,P010,S001,16,20784
2026-08-29,P001,S001,20,15980
2026-08-29,P002,S001,15,22485
2026-08-29,P003,S001,25,9975
2026-08-29,P004,S001,10,9990
2026-08-29,P005,S001,9,22491
2026-08-29,P006,S001,14,26586
2026-08-29,P007,S001,4,25996
2026-08-29,P008,S001,18,16182
2026-08-29,P009,S001,40,3960
2026-08-29,P010,S001,20,25980
